s,cx,cy,lx,ly,rx,ry
200.867,145.097,71.5927,140.587,69.4334,149.607,73.752
201.367,144.879,72.0423,140.391,69.8381,149.367,74.2465
201.867,144.657,72.4897,140.191,70.2407,149.122,74.7386
202.366,144.43,72.9348,139.987,70.6413,148.873,75.2283
202.866,144.198,73.3777,139.778,71.0399,148.618,75.7154
203.366,143.962,73.8182,139.566,71.4364,148.359,76.2
203.865,143.722,74.2563,139.35,71.8307,148.094,76.6819
204.365,143.478,74.692,139.13,72.2228,147.825,77.1612
204.865,143.229,75.1253,138.906,72.6127,147.552,77.6378
205.364,142.975,75.556,138.678,73.0004,147.273,78.1116
205.864,142.718,75.9842,138.446,73.3858,146.99,78.5826
206.364,142.456,76.4098,138.211,73.7688,146.702,79.0508
206.863,142.19,76.8327,137.971,74.1495,146.409,79.516
207.363,141.92,77.253,137.728,74.5277,146.112,79.9783
207.863,141.645,77.6706,137.481,74.9035,145.81,80.4376
208.362,141.367,78.0854,137.23,75.2768,145.503,80.8939
208.862,141.084,78.4974,136.976,75.6476,145.192,81.3471
209.362,140.797,78.9065,136.718,76.0158,144.877,81.7971
209.861,140.506,79.3127,136.456,76.3815,144.557,82.244
210.361,140.211,79.7161,136.19,76.7445,144.233,82.6877
210.861,139.912,80.1164,135.921,77.1048,143.904,83.1281
211.36,139.609,80.5138,135.649,77.4624,143.57,83.5652
211.86,139.303,80.9081,135.372,77.8173,143.233,83.9989
212.36,138.992,81.2993,135.093,78.1694,142.891,84.4292
212.859,138.677,81.6874,134.809,78.5186,142.545,84.8561
213.359,138.358,82.0723,134.523,78.8651,142.194,85.2795
213.859,138.036,82.454,134.232,79.2086,141.84,85.6994
214.358,137.71,82.8325,133.939,79.5493,141.481,86.1158
214.858,137.38,83.2077,133.642,79.8869,141.118,86.5285
215.358,137.046,83.5796,133.341,80.2216,140.751,86.9376
215.857,136.709,83.9481,133.038,80.5533,140.38,87.3429
216.357,136.368,84.3133,132.731,80.882,140.004,87.7446
216.857,136.023,84.675,132.421,81.2075,139.625,88.1425
217.356,135.675,85.0332,132.107,81.5299,139.242,88.5366
217.856,135.323,85.388,131.79,81.8492,138.855,88.9268
218.356,134.967,85.7392,131.471,82.1653,138.464,89.3131
218.855,134.608,86.0869,131.148,82.4782,138.069,89.6956
219.355,134.246,86.4309,130.821,82.7878,137.671,90.074
219.855,133.88,86.7713,130.492,83.0942,137.268,90.4485
220.354,133.511,87.1081,130.16,83.3973,136.862,90.8189
220.854,133.139,87.4411,129.825,83.697,136.452,91.1852
221.354,132.763,87.7704,129.486,83.9933,136.039,91.5474
221.853,132.384,88.0959,129.145,84.2863,135.622,91.9055
222.353,132.001,88.4176,128.801,84.5759,135.201,92.2594
222.853,131.616,88.7355,128.454,84.862,134.777,92.6091
223.352,131.227,89.0495,128.104,85.1446,134.35,92.9545
223.852,130.835,89.3596,127.752,85.4237,133.919,93.2956
224.352,130.441,89.6658,127.396,85.6992,133.485,93.6324
224.851,130.043,89.968,127.038,85.9712,133.047,93.9648
225.351,129.642,90.2662,126.678,86.2396,132.606,94.2929
225.851,129.238,90.5605,126.314,86.5044,132.162,94.6165
226.35,128.831,90.8506,125.948,86.7655,131.714,94.9357
226.85,128.421,91.1367,125.579,87.023,131.263,95.2503
227.35,128.009,91.4186,125.208,87.2768,130.81,95.5605
227.849,127.594,91.6965,124.834,87.5268,130.353,95.8661
228.349,127.175,91.9701,124.458,87.7731,129.893,96.1672
228.849,126.755,92.2396,124.079,88.0157,129.43,96.4636
229.348,126.331,92.5049,123.698,88.2544,128.964,96.7554
229.848,125.905,92.7659,123.315,88.4893,128.496,97.0425
230.348,125.477,93.0226,122.929,88.7204,128.024,97.3249
230.847,125.045,93.2751,122.541,88.9476,127.55,97.6026
231.347,124.612,93.5232,122.15,89.1709,127.073,97.8755
231.847,124.175,93.767,121.758,89.3903,126.593,98.1437
232.346,123.737,94.0064,121.363,89.6057,126.111,98.407
232.846,123.296,94.2414,120.966,89.8172,125.626,98.6655
233.346,122.853,94.472,120.567,90.0248,125.138,98.9192
233.845,122.407,94.6981,120.166,90.2283,124.648,99.1679
234.345,121.959,94.9198,119.763,90.4278,124.155,99.4118
234.845,121.509,95.137,119.358,90.6233,123.66,99.6507
235.344,121.057,95.3497,118.951,90.8147,123.163,99.8847
235.844,120.603,95.5579,118.543,91.0021,122.663,100.114
236.344,120.147,95.7615,118.132,91.1853,122.161,100.338
236.843,119.688,95.9605,117.719,91.3645,121.657,100.557
237.343,119.228,96.155,117.305,91.5395,121.151,100.77
237.843,118.766,96.3448,116.889,91.7104,120.642,100.979
238.342,118.302,96.5301,116.472,91.877,120.132,101.183
238.842,117.836,96.7106,116.052,92.0396,119.619,101.382
239.342,117.368,96.8865,115.631,92.1979,119.105,101.575
239.841,116.899,97.0578,115.209,92.352,118.589,101.764
240.341,116.428,97.2243,114.785,92.5018,118.07,101.947
240.841,115.955,97.3861,114.359,92.6475,117.55,102.125
241.34,115.481,97.5432,113.933,92.7888,117.029,102.297
241.84,115.005,97.6955,113.504,92.9259,116.505,102.465
242.34,114.527,97.843,113.075,93.0587,115.98,102.627
242.839,114.048,97.9858,112.644,93.1872,115.453,102.784
243.339,113.568,98.1238,112.211,93.3114,114.925,102.936
243.839,113.087,98.257,111.778,93.4313,114.395,103.083
244.338,112.604,98.3854,111.343,93.5468,113.864,103.224
244.838,112.12,98.5089,110.908,93.658,113.332,103.36
245.338,111.634,98.6276,110.471,93.7648,112.798,103.49
245.837,111.148,98.7414,110.033,93.8673,112.262,103.616
246.337,110.66,98.8504,109.594,93.9654,111.726,103.735
246.837,110.171,98.9545,109.154,94.0591,111.189,103.85
247.336,109.682,99.0537,108.713,94.1483,110.65,103.959
247.836,109.191,99.148,108.272,94.2332,110.11,104.063
248.336,108.699,99.2374,107.829,94.3137,109.569,104.161
248.835,108.207,99.3219,107.386,94.3897,109.028,104.254
249.335,107.714,99.4014,106.942,94.4613,108.485,104.342
249.835,107.22,99.476,106.498,94.5284,107.941,104.424
250.334,106.725,99.5457,106.052,94.5911,107.397,104.5
250.834,106.229,99.6104,105.606,94.6494,106.852,104.571
251.334,105.733,99.6702,105.16,94.7032,106.307,104.637
251.833,105.237,99.725,104.713,94.7525,105.76,104.698
252.333,104.739,99.7749,104.265,94.7974,105.213,104.752
252.833,104.242,99.8198,103.818,94.8378,104.666,104.802
253.332,103.744,99.8597,103.369,94.8737,104.118,104.846
253.832,103.245,99.8946,102.921,94.9051,103.57,104.884
254.332,102.746,99.9245,102.472,94.9321,103.021,104.917
254.831,102.247,99.9495,102.023,94.9545,102.472,104.944
255.331,101.748,99.9694,101.573,94.9725,101.923,104.966
255.831,101.249,99.9844,101.124,94.986,101.374,104.983
256.33,100.749,99.9944,100.674,94.9949,100.824,104.994
256.83,100.249,99.9994,100.225,94.9994,100.274,104.999
257.33,99.7498,100,99.7498,95,99.7498,105
257.83,99.2501,100,99.2502,95,99.2501,105
258.329,98.7505,100,98.7505,95,98.7504,105
258.829,98.2508,100,98.2508,95,98.2508,105
259.329,97.7511,100,97.7512,95,97.7511,105
259.828,97.2514,100,97.2515,95,97.2514,105
260.328,96.7518,100,96.7518,95,96.7517,105
260.828,96.2521,100,96.2521,95,96.2521,105
261.327,95.7524,100,95.7525,95,95.7524,105
261.827,95.2528,100,95.2528,95,95.2527,105
262.327,94.7531,100,94.7531,95,94.7531,105
262.826,94.2534,100,94.2535,95,94.2534,105
263.326,93.7538,100,93.7538,95,93.7537,105
263.826,93.2541,100,93.2541,95,93.2541,105
264.325,92.7544,99.9999,92.7545,94.9999,92.7544,105
